,Heating,Cooling,Country
2747,2660.07,12088.32,AUS
2748,26902.64,12067.64,USA
2749,6815.33,22743.06,USA
2750,175008.13,1609.32,USA
2751,13538.97,15945.61,USA
2752,100409.25,4425.44,USA
2753,2808.01,7738.89,USA
2754,48581.03,9639.93,USA
2755,38968.76,10702.5,USA
2756,96862.34,2753.52,CAN
2757,137323.67,2932.91,CAN
2758,96085.06,393.12,CHN
2759,28.02,31569.35,CUB
2760,9074.49,21003.29,USA
2761,41272.21,18711.74,CHN
2762,58540.59,1758.4,ITA
2763,103719.58,3387.57,CHN
2764,65553.98,5184.08,USA
2765,38036.86,10621.07,CHN
2766,31035.06,3591.63,USA
2767,35814.62,8656.78,USA
2768,24160.7,16185.59,USA
2769,14976.56,10191.51,USA
2770,62606.05,3275.32,CHN
2771,0.02,20733.31,BRA
2772,0,22678.85,BRA
2773,78721.98,6763.46,USA
2774,31946.73,8369.04,USA
2775,4897.31,9336.35,BRA
2776,55586.89,5484.52,USA
2777,1905.75,34244.77,EGY
2778,73109.71,3395.48,USA
2779,957.21,25914.04,USA
2780,120625.15,4390.97,CHN
2781,2.89,49898.2,BRA
2782,59376.9,7257.41,USA
2783,14444.6,16904.69,CHN
2784,16.77,24838.71,BRA
2785,61065.99,1340.27,CHN
2786,25079.32,917.51,NZL
2787,45092.08,6286.67,USA
2788,6297.82,19838.96,CHN
2789,0,41779.03,MYS
2790,231.26,42321.18,BGD
2791,111.16,42345.57,IND
2792,93036.62,4193.08,USA
2793,71076.12,7034.7,USA
2794,0,33919.27,BRA
2795,60518.86,4273,USA
2796,4512.24,13245.09,USA
2797,76498.46,580.25,USA
2798,44.76,14601.5,BRA
2799,79088.88,5752.32,USA
2800,0,36003.57,BRA
2801,93.66,15373.06,BRA
2802,661.67,11521.31,BRA
2803,2167.38,41911.74,IND
2804,25042.94,16044.13,USA
2805,35713.06,8947.84,USA
2806,17829.07,10328.36,CHN
2807,0,32008.86,BRA
2808,1989.95,33889.02,EGY
2809,3788.03,12212.67,ESP
2810,0,37558.31,BRA
2811,27047.53,13335.82,USA
2812,0,24657.61,USA
2813,183.44,37724.67,IND
2814,47.43,34354.64,CHN
2815,63378.38,10633.82,CHN
2816,29982.89,825.97,IRL
2817,3727.15,8704.46,BRA
2818,51001.08,6120.98,USA
2819,31794.31,12646.71,USA
2820,14463.74,15773.1,USA
2821,26523.45,18154.33,USA
2822,42211.09,7378.83,USA
2823,76200.93,1127.83,CAN
2824,85670.76,78.12,USA
2825,34225.01,8613.34,USA
2826,0.02,33712.63,FJI
2827,75492.82,6273.01,CHN
2828,15222.3,7047.28,CHN
2829,67354.18,8372.42,USA
2830,45824.71,6487.01,CHN
2831,4389.55,21115.67,USA
2832,3115.36,7715.11,BRA
2833,59586.87,4285.05,USA
2834,83626.78,5620.55,USA
2835,15350.55,10189.2,GRC
2836,4120.11,11126.36,PRT
2837,49452.38,7810.37,USA
2838,86159.03,4117.21,CHN
2839,17768,11337.03,USA
2840,30075.52,15495.14,USA
2841,43546.44,6112.46,USA
2842,9655.08,5200.35,PRT
2843,52346.39,4370.67,USA
2844,102359.06,5035.26,CHN
2845,124280.07,4950.74,CHN
2846,207.4,33935.41,AUS
