,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
1141,KILLEEN MUNI (AWOS),722575,2A,12364.63,20650.83,USA,USA_TX_Killeen.Muni.AWOS.722575_TMY3,33015.46
1142,KINGSVILLE,722516,2A,3437.66,28080.16,USA,USA_TX_Kingsville.722516_TMY,31517.82
1143,KINGSVILLE,722516,2A,3415.1,26627.44,USA,USA_TX_Kingsville.722516_TMY3,30042.54
1144,LAREDO INTL AIRPORT,722520,2B,3493.29,29274.54,USA,USA_TX_Laredo.Intl.AP.722520_TMY,32767.83
1145,LAREDO INTL AIRPORT,722520,2B,5629.42,28401.47,USA,USA_TX_Laredo.Intl.AP.722520_TMY3,34030.89
1146,LAUGHLIN AFB,722615,2B,3848.44,29092.13,USA,USA_TX_Del.Rio-Laughlin.AFB.722615_TMY3,32940.57
1147,LONGVIEW GREGG COUNTY AP,722470,3A,10542.93,19614.65,USA,USA_TX_Longview-Gregg.County.AP.722470_TMY3,30157.58
1148,LUBBOCK INTERNATIONAL AP,722670,3B,22121.23,12393.65,USA,USA_TX_Lubbock.722670_TMY2,34514.88
1149,LUBBOCK INTERNATIONAL AP,722670,3B,22239.09,14903.8,USA,USA_TX_Lubbock.Intl.AP.722670_TMY,37142.89
1150,LUBBOCK INTERNATIONAL AP,722670,3B,21877.36,13889.74,USA,USA_TX_Lubbock.Intl.AP.722670_TMY3,35767.1
1151,LUFKIN ANGELINA CO,722446,2A,9736.55,20185.53,USA,USA_TX_Lufkin.722446_TMY2,29922.08
1152,LUFKIN ANGELINA CO,722446,2A,9702.38,20928.82,USA,USA_TX_Lufkin-Angelina.Co.AP.722446_TMY,30631.2
1153,LUFKIN ANGELINA CO,722446,2A,9272.6,20389.73,USA,USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3,29662.33
1154,MARFA AP,722640,3B,17768,11337.03,USA,USA_TX_Marfa.AP.722640_TMY3,29105.03
1155,MC GREGOR (AWOS),722563,2A,13995.53,20872.86,USA,USA_TX_McGregor.AWOS.722563_TMY3,34868.39
1156,MCALLEN MILLER INTL AP,722506,1A,2954.62,28676.81,USA,USA_TX_McAllen-Miller.Intl.AP.722506_TMY3,31631.43
1157,MCKINNEY MUNI ARPT,722541,3A,14000.32,18285.38,USA,USA_TX_Sherman-Perrin.AFB.722541_TMY,32285.7
1158,MIDLAND INTERNATIONAL AP,722650,3B,15744.4,15533.61,USA,USA_TX_Midland-Odessa.722650_TMY2,31278.01
1159,MIDLAND INTERNATIONAL AP,722650,3B,13885.56,17465.78,USA,USA_TX_Midland.Intl.AP.722650_TMY,31351.34
1160,MIDLAND INTERNATIONAL AP,722650,3B,13538.97,15945.61,USA,USA_TX_Midland.Intl.AP.722650_TMY3,29484.58
1161,NACOGDOCHES (AWOS),722499,3A,12576.98,18839,USA,USA_TX_Nacogdoches.AWOS.722499_TMY3,31415.98
1162,PALACIOS MUNICIPAL AP,722555,2A,6978.26,23762.73,USA,USA_TX_Palacios.Muni.AP.722555_TMY3,30740.99
1163,PORT ARTHUR JEFFERSON COUNTY,722410,2A,5950.55,20129.74,USA,USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY,26080.29
1164,PORT ARTHUR JEFFERSON COUNTY,722410,2A,5843.19,22519.07,USA,USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3,28362.26
1165,PORT ARTHUR JEFFERSON COUNTY,722410,2A,6470.94,20830.55,USA,USA_TX_Beaumont-Port.Arthur.722410_TMY2,27301.49
1166,RANDOLPH AFB,722536,2A,9542.56,23516.36,USA,USA_TX_Randolph.AFB.722536_TMY3,33058.92
1167,RANDOLPH AFB,722536,2A,8033.98,22551.38,USA,USA_TX_San.Antonio.722536_TMY2,30585.36
1168,ROCKPORT/ARANSAS CO,722524,2A,2020.25,28271.42,USA,USA_TX_Rockport-Aransas.Co.AP.722524_TMY3,30291.67
1169,SAN ANGELO MATHIS FIELD,722630,3B,14590.41,17627.5,USA,USA_TX_San.Angelo-Mathis.AP.722630_TMY3,32217.91
1170,SAN ANGELO MATHIS FIELD,722630,3B,11957.65,19293.95,USA,USA_TX_San.Angelo-Mathis.AP.722630_TMY,31251.6
1171,SAN ANGELO MATHIS FIELD,722630,3B,16257.05,16903.09,USA,USA_TX_San.Angelo.722630_TMY2,33160.14
1172,SAN ANTONIO INTL AP,722530,2A,6921.94,24279.47,USA,USA_TX_San.Antonio.Intl.AP.722530_TMY3,31201.41
1173,SAN ANTONIO INTL AP,722530,2A,7562.34,21923.71,USA,USA_TX_San.Antonio.Intl.AP.722530_TMY,29486.05
1174,SAN ANTONIO/STINSON,722523,2A,6558.07,23080.9,USA,USA_TX_San.Antonio-Stinson.AP.722523_TMY3,29638.97
1175,STEPHENVILLE CLARK FIELD,722600,3A,13088.25,18967.2,USA,USA_TX_Fort.Worth-Stephenville-Clark.Field.722600_TMY,32055.45
1176,VICTORIA REGIONAL AP,722550,2A,5706.94,23663.76,USA,USA_TX_Victoria.Rgnl.AP.722550_TMY3,29370.7
1177,VICTORIA REGIONAL AP,722550,2A,4738.98,22681.79,USA,USA_TX_Victoria.722550_TMY2,27420.77
1178,WACO REGIONAL AP,722560,2A,12107.12,21649.74,USA,USA_TX_Waco.Rgnl.AP.722560_TMY3,33756.86
1179,WACO REGIONAL AP,722560,2A,11776.7,21578.5,USA,USA_TX_Waco.Rgnl.AP.722560_TMY,33355.2
1180,WACO REGIONAL AP,722560,2A,10940.26,19999.7,USA,USA_TX_Waco.722560_TMY2,30939.96
1181,WICHITA FALLS MUNICIPAL ARPT,723510,3A,16952.68,18353.43,USA,USA_TX_Wichita.Falls.Muni.AP.723510_TMY3,35306.11
1182,WICHITA FALLS MUNICIPAL ARPT,723510,3A,19563.87,18695.89,USA,USA_TX_Wichita.Falls.723510_TMY2,38259.76
1183,WICHITA FALLS MUNICIPAL ARPT,723510,3A,18756.92,18197.42,USA,USA_TX_Wichita.Falls.Muni.AP.723510_TMY,36954.34
1184,WINK WINKLER COUNTY AP,722656,3B,12826.71,21719,USA,USA_TX_Wink-Winkler.County.AP.722656_TMY3,34545.71
1185,CEDAR CITY MUNICIPAL AP,724755,5B,40216.11,7288.21,USA,USA_UT_Cedar.City.724755_TMY2,47504.32
1186,CEDAR CITY MUNICIPAL AP,724755,5B,37789.99,8291.95,USA,USA_UT_Cedar.City.Muni.AP.724755_TMY,46081.94
1187,CEDAR CITY MUNICIPAL AP,724755,5B,36937.68,8101.61,USA,USA_UT_Cedar.City.Muni.AP.724755_TMY3,45039.29
1188,HILL AFB/OGDEN,725755,5B,41311.63,8922.38,USA,USA_UT_Ogden-Hill.AFB.725755_TMY3,50234.01
1189,PROVO MUNI (AWOS),725724,5B,35606.57,8959.99,USA,USA_UT_Provo.Muni.AWOS.725724_TMY3,44566.56
1190,SAINT GEORGE (AWOS),724754,3B,12146.49,20765.46,USA,USA_UT_Saint.George.AWOS.724754_TMY3,32911.95
1191,SALT LAKE CITY INT'L ARPT,725720,5B,40511.63,9645.59,USA,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY,50157.22
1192,SALT LAKE CITY INT'L ARPT,725720,5B,36586.69,8726.18,USA,USA_UT_Salt.Lake.City.725720_TMY2,45312.87
1193,SALT LAKE CITY INT'L ARPT,725720,5B,32808.88,9349.25,USA,USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3,42158.13
1194,VERNAL,725705,6B,46594.49,7552.97,USA,USA_UT_Vernal.AP.725705_TMY3,54147.46
1195,WENDOVER USAF AUXILIARY FIELD,725810,5B,36996.46,9462.42,USA,USA_UT_Wendover.USAF.Auxiliary.Field.725810_TMY3,46458.88
1196,BURLINGTON INTERNATIONAL AP,726170,6A,61966.16,5177.74,USA,USA_VT_Burlington.Intl.AP.726170_TMY3,67143.9
1197,BURLINGTON INTERNATIONAL AP,726170,6A,71484.91,4762.22,USA,USA_VT_Burlington.Intl.AP.726170_TMY,76247.13
1198,BURLINGTON INTERNATIONAL AP,726170,6A,71289.93,4936.6,USA,USA_VT_Burlington.726170_TMY2,76226.53
1199,MONTPELIER AP,726145,6A,63475.87,4250.58,USA,USA_VT_Montpelier.AP.726145_TMY3,67726.45
1200,RUTLAND STATE,725165,6A,65792.01,6166.46,USA,USA_VT_Rutland.State.AP.725165_TMY3,71958.47
1201,SPRINGFIELD/HARTNES,726115,6A,59427.27,4939.23,USA,USA_VT_Springfield-Hartnes.State.AP.726115_TMY3,64366.5
1202,ABINGTON,724058,4A,32240.1,9427.5,USA,USA_VA_Abingdon-Virgina.Highlands.AP.724058_TMY3,41667.6
1203,DANVILLE FAA AP,724106,3A,21440.31,13432.36,USA,USA_VA_Danville.Rgnl.AP.724106_TMY3,34872.67
1204,DINWIDDIE CO,724014,4A,20397.62,13994.66,USA,USA_VA_Petersburg.Muni.AP.724014_TMY3,34392.28
1205,FARMVILLE,724017,4A,24915.73,12344.9,USA,USA_VA_Farmville.Muni.AP.724017_TMY3,37260.63
1206,FORT BELVOIR/DAVISO,724037,4A,30693.44,12360.31,USA,USA_VA_Davison.AAF.724037_TMY3,43053.75
1207,HILLSVILLE,724107,4A,36882.45,7755.47,USA,USA_VA_Hillsville-Twin.County.AP.724107_TMY3,44637.92
1208,HOT SPRINGS/INGALLS,724115,5A,50029.39,3936.57,USA,USA_VA_Hot.Springs-Ingalls.Field.724115_TMY3,53965.96
1209,LANGLEY AFB/HAMPTON,745980,3A,25847.08,12334.2,USA,USA_VA_Langley.AFB.745980_TMY3,38181.28
1210,LEESBURG/GODFREY,724055,4A,35512.03,11021.75,USA,USA_VA_Leesburg.Muni.AP-Godfrey.Field.724055_TMY3,46533.78
1211,LYNCHBURG REGIONAL ARPT,724100,4A,25673.25,11790.37,USA,USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3,37463.62
1212,LYNCHBURG REGIONAL ARPT,724100,4A,27269.2,9802.24,USA,USA_VA_Lynchburg.724100_TMY2,37071.44
1213,MANASSAS MUNI(AWOS),724036,4A,34425.87,9981.78,USA,USA_VA_Manassas.Muni.AWOS.724036_TMY3,44407.65
1214,MARION / WYTHEVILLE,724056,4A,32818.63,8211.88,USA,USA_VA_Marion-Wytheville-Mountain.Empire.AP.724056_TMY3,41030.51
1215,MARTINSVILLE,745985,4A,29301.45,12356.12,USA,USA_VA_Martinsville-Blue.Ridge.AP.745985_TMY3,41657.57
1216,MELFA/ACCOMACK ARPT,724026,4A,21483.6,12474.26,USA,USA_VA_Melfa-Accomack.County.AP.724026_TMY3,33957.86
1217,NEWPORT NEWS,723086,3A,18819,14114.87,USA,USA_VA_Newport.News.723086_TMY3,32933.87
1218,NORFOLK INTERNATIONAL AP,723080,3A,20597.26,12105.84,USA,USA_VA_Norfolk.Intl.AP.723080_TMY,32703.1
1219,NORFOLK INTERNATIONAL AP,723080,3A,18534.91,13245.03,USA,USA_VA_Norfolk.Intl.AP.723080_TMY3,31779.94
1220,NORFOLK INTERNATIONAL AP,723080,3A,20095.98,11833.3,USA,USA_VA_Norfolk.723080_TMY2,31929.28
1221,NORFOLK NAS,723085,3A,15333.33,13312.7,USA,USA_VA_Norfolk.NAS.723085_TMY3,28646.03
1222,OCEANA NAS,723075,3A,17095.43,13467.01,USA,USA_VA_Oceana.NAS.723075_TMY3,30562.44
1223,QUANTICO MCAS,724035,4A,24615.45,12109.03,USA,USA_VA_Quantico.MCAS.724035_TMY3,36724.48
1224,RICHMOND INTERNATIONAL AP,724010,4A,24242.5,11077.52,USA,USA_VA_Richmond.Intl.AP.724010_TMY,35320.02
1225,RICHMOND INTERNATIONAL AP,724010,4A,25126.61,11236.7,USA,USA_VA_Richmond.724010_TMY2,36363.31
1226,RICHMOND INTERNATIONAL AP,724010,4A,23568.38,13081.06,USA,USA_VA_Richmond.Intl.AP.724010_TMY3,36649.44
1227,ROANOKE REGIONAL AP,724110,4A,26425.94,9547.63,USA,USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY,35973.57
1228,ROANOKE REGIONAL AP,724110,4A,26256.84,10324.2,USA,USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3,36581.04
1229,ROANOKE REGIONAL AP,724110,4A,26554.49,9517.73,USA,USA_VA_Roanoke.724110_TMY2,36072.22
1230,SHANNON ARPT,724033,4A,30835.01,12775.68,USA,USA_VA_Fredericksburg-Shannon.AP.724033_TMY3,43610.69
1231,STAUNTON/SHENANDOAH,724105,4A,31528.59,11300.43,USA,USA_VA_Staunton-Shenandoah.Valley.Rgnl.AP.724105_TMY3,42829.02
1232,VIRGINIA TECH ARPT,724113,4A,33836.77,8182.71,USA,USA_VA_Blacksburg-Virginia.Tech.AP.724113_TMY3,42019.48
1233,WASHINGTON DC DULLES INT'L AR,724030,4A,35943.6,9575.81,USA,USA_VA_Sterling-Washington.Dulles.724030_TMY2,45519.41
1234,WASHINGTON DC DULLES INT'L AR,724030,4A,32925.32,10578.03,USA,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3,43503.35
1235,WASHINGTON DC DULLES INT'L AR,724030,4A,32897,9626.28,USA,USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY,42523.28
1236,WINCHESTER RGNL,724053,4A,35456.82,11395.29,USA,USA_VA_Winchester.Rgnl.AP.724053_TMY3,46852.11
1237,WISE/LONESOME PINE,724117,4A,31716.69,7995.67,USA,USA_VA_Wise-Lonesome.Pine.AP.724117_TMY3,39712.36
1238,BELLINGHAM INTL AP,727976,4C,30602.28,2401.01,USA,USA_WA_Bellingham.Intl.AP.727976_TMY3,33003.29
1239,BREMERTON NATIONAL,727928,5C,27753.39,3267.95,USA,USA_WA_Bremerton.National.AP.727928_TMY3,31021.34
1240,FAIRCHILD AFB,727855,5B,57050.9,4885.78,USA,USA_WA_Fairchild.AFB.727855_TMY3,61936.68
1241,FAIRCHILD AFB,727855,5B,47943.39,4836.41,USA,USA_WA_Spokane.727855_TMY2,52779.8
1242,FELTS FLD,727856,5B,39681.71,6433.63,USA,USA_WA_Spokane-Felts.Field.727856_TMY3,46115.34
1243,HANFORD,727840,5B,42177.58,9050.03,USA,USA_WA_Hanford.727840_TMY3,51227.61
1244,HOQUIAM AP,727923,4C,22751.84,1693.61,USA,USA_WA_Hoquiam.AP.727923_TMY3,24445.45
1245,KELSO WB AP,727924,4C,23036.18,3497.56,USA,USA_WA_Kelso.AP.727924_TMY3,26533.74
1246,MC CHORD AFB/TACOMA,742060,4C,33572,3263.87,USA,USA_WA_Tacoma-McChord.AFB.742060_TMY3,36835.87
1247,OLYMPIA AIRPORT,727920,4C,29069.8,3374.68,USA,USA_WA_Olympia.AP.727920_TMY3,32444.48
1248,OLYMPIA AIRPORT,727920,4C,32022.31,2946.28,USA,USA_WA_Olympia.AP.727920_TMY,34968.59
1249,OLYMPIA AIRPORT,727920,4C,31035.06,3591.63,USA,USA_WA_Olympia.727920_TMY2,34626.69
1250,PASCO,727845,5B,31283.6,9301.3,USA,USA_WA_Pasco-Tri.Cities.AP.727845_TMY3,40584.9
1251,PULLMAN/MOSCOW RGNL,727857,5B,42027.64,5563.36,USA,USA_WA_Pullman-Moscow.Rgnl.AP.727857_TMY3,47591
1252,QUILLAYUTE STATE AIRPORT,727970,5C,29847.72,1374.04,USA,USA_WA_Quillayute.727970_TMY2,31221.76
1253,QUILLAYUTE STATE AIRPORT,727970,5C,27123.87,1550.38,USA,USA_WA_Quillayute.State.AP.727970_TMY3,28674.25
1254,SEATTLE BOEING FIELD,727935,4C,19389.22,3656.95,USA,USA_WA_Seattle-Boeing.Field.727935_TMY3,23046.17
1255,SEATTLE SEATTLE-TACOMA INTL A,727930,4C,26128.63,3011.92,USA,USA_WA_Seattle-Tacoma.727930_TMY2,29140.55
1256,SEATTLE SEATTLE-TACOMA INTL A,727930,4C,28553.64,2570.19,USA,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY,31123.83
1257,SEATTLE SEATTLE-TACOMA INTL A,727930,4C,22590.01,3181.7,USA,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3,25771.71
1258,SNOHOMISH CO,727937,4C,23264.04,2877.53,USA,USA_WA_Snohomish.County.AP.727937_TMY3,26141.57
1259,SPOKANE INTERNATIONAL AP,727850,5B,48562.71,5095.48,USA,USA_WA_Spokane.Intl.AP.727850_TMY,53658.19
1260,SPOKANE INTERNATIONAL AP,727850,5B,46876.31,4924.52,USA,USA_WA_Spokane.Intl.AP.727850_TMY3,51800.83
1261,STAMPEDE PASS,727815,5B,62407.68,2462.54,USA,USA_WA_Stampede.Pass.727815_TMY3,64870.22
1262,TACOMA NARROWS,727938,4C,21752.84,3212.45,USA,USA_WA_Tacoma.Narrows.AP.727938_TMY3,24965.29
1263,WALLA WALLA CITY COUNTY AP,727846,5B,28759.14,7767.39,USA,USA_WA_Walla.Walla.City-County.AP.727846_TMY3,36526.53
1264,WENATCHEE/PANGBORN,727825,5B,38218.73,7796.3,USA,USA_WA_Wenatchee-Pangborn.Mem.AP.727825_TMY3,46015.03
1265,WHIDBEY ISLAND NAS,690230,5C,25350.83,1473.03,USA,USA_WA_Whidbey.Island.NAS.690230_TMY,26823.86
1266,WHIDBEY ISLAND NAS,690230,5C,24614.21,1739.54,USA,USA_WA_Whidbey.Island.NAS.690230_TMY3,26353.75
1267,WILLIAM R FAIRCHILD,727885,5C,28622.12,2017.33,USA,USA_WA_Port.Angeles-William.R.Fairchild.Intl.AP.727885_TMY3,30639.45
1268,YAKIMA AIR TERMINAL,727810,5B,42214.43,6723.82,USA,USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3,48938.25
1269,YAKIMA AIR TERMINAL,727810,5B,40651.79,6319.74,USA,USA_WA_Yakima.727810_TMY2,46971.53
1270,YAKIMA AIR TERMINAL,727810,5B,40720.07,6518.48,USA,USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY,47238.55
1271,BECKLEY RALEIGH CO MEM AP,724120,4A,37784.09,6555.87,USA,USA_WV_Beckley-Raleigh.County.Mem.AP.724120_TMY3,44339.96
1272,BLUEFIELD/MERCER CO,724125,4A,28317,6658.42,USA,USA_WV_Bluefield-Mercer.County.AP.724125_TMY3,34975.42
1273,CHARLESTON YEAGER ARPT,724140,4A,32815.29,10587.1,USA,USA_WV_Charleston-Yeager.AP.724140_TMY3,43402.39
1274,CHARLESTON YEAGER ARPT,724140,4A,32167.85,8844.53,USA,USA_WV_Charleston-Yeager.AP.724140_TMY,41012.38
1275,CHARLESTON YEAGER ARPT,724140,4A,31511.35,8759.83,USA,USA_WV_Charleston.724140_TMY2,40271.18
1276,ELKINS ELKINS-RANDOLPH CO ARP,724170,5A,43874.05,6048.22,USA,USA_WV_Elkins-Randolph.County.AP.724170_TMY3,49922.27
1277,ELKINS ELKINS-RANDOLPH CO ARP,724170,5A,46316.65,5207.95,USA,USA_WV_Elkins.724170_TMY2,51524.6
1278,HARRISON MARION RGN,724175,5A,35404.51,8472.37,USA,USA_WV_Clarksburg-Harrison.Marion.Rgnl.AP.724175_TMY3,43876.88
1279,HUNTINGTON TRI-STATE ARPT,724250,4A,31679.17,10384.28,USA,USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3,42063.45
1280,HUNTINGTON TRI-STATE ARPT,724250,4A,31878.41,9530.23,USA,USA_WV_Huntington.724250_TMY2,41408.64
1281,MARTINSBURG EASTERN WV REG AP,724177,4A,26639.47,8044.53,USA,USA_WV_Martinsburg-Eastern.WV.Rgnl.AP.724177_TMY3,34684
1282,MORGANTOWN HART FIELD,724176,5A,36617.32,7010.51,USA,USA_WV_Morgantown.Muni-Hart.Field.724176_TMY3,43627.83
1283,PARKERSBURG WOOD COUNTY AP,724273,4A,36591.15,9421.19,USA,USA_WV_Parkersburg-Wood.County-Gill.Robb.Wilson.AP.724273_TMY3,46012.34
1284,ANTIGO\LANG(AWOS),726626,6A,83394.44,6488.16,USA,USA_WI_Ephraim.AWOS.726626_TMY3,89882.6
1285,APPLETON/OUTAGAMIE,726457,6A,56700.23,5749.2,USA,USA_WI_Appleton-Outagamie.County.AP.726457_TMY3,62449.43
1286,EAU CLAIRE COUNTY AP,726435,6A,82569.98,6017.18,USA,USA_WI_Eau.Claire.County.AP.726435_TMY,88587.16
1287,EAU CLAIRE COUNTY AP,726435,6A,82071.09,6462.43,USA,USA_WI_Eau.Claire.County.AP.726435_TMY3,88533.52
1288,EAU CLAIRE COUNTY AP,726435,6A,83889.13,5528.14,USA,USA_WI_Eau.Claire.726435_TMY2,89417.27
1289,GREEN BAY AUSTIN STRAUBEL INT,726450,6A,74864.17,4929.84,USA,USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY,79794.01
1290,GREEN BAY AUSTIN STRAUBEL INT,726450,6A,78327.15,5210.63,USA,USA_WI_Green.Bay.726450_TMY2,83537.78
1291,GREEN BAY AUSTIN STRAUBEL INT,726450,6A,71250.03,6197.56,USA,USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3,77447.59
1292,LA CROSSE MUNICIPAL ARPT,726430,5A,72287.01,6739.34,USA,USA_WI_La.Crosse.726430_TMY2,79026.35
1293,LA CROSSE MUNICIPAL ARPT,726430,5A,64453.99,6743.66,USA,USA_WI_La.Crosse.Muni.AP.726430_TMY,71197.65
1294,LA CROSSE MUNICIPAL ARPT,726430,5A,67524.6,7771.53,USA,USA_WI_La.Crosse.Muni.AP.726430_TMY3,75296.13
1295,MADISON DANE CO REGIONAL ARPT,726410,5A,66073.76,6131.29,USA,USA_WI_Madison.726410_TMY2,72205.05
1296,MADISON DANE CO REGIONAL ARPT,726410,5A,66505.78,5792.64,USA,USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY,72298.42
1297,MADISON DANE CO REGIONAL ARPT,726410,5A,71411.87,7160.74,USA,USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3,78572.61
1298,MANITOWAC MUNI AWOS,726455,6A,59586.87,4285.05,USA,USA_WI_Manitowac.Muni.AWOS.726455_TMY3,63871.92
1299,MARSHFIELD MUNI,726574,6A,66156.42,5482.26,USA,USA_WI_Marshfield.Muni.AP.726574_TMY3,71638.68
1300,MILWAUKEE MITCHELL INTL AP,726400,5A,59484.46,5492.72,USA,USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY,64977.18
1301,MILWAUKEE MITCHELL INTL AP,726400,5A,66965.74,5215.25,USA,USA_WI_Milwaukee.726400_TMY2,72180.99
1302,MILWAUKEE MITCHELL INTL AP,726400,5A,63092.16,5761.88,USA,USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3,68854.04
1303,MOSINEE/CENTRAL WI,726465,6A,88622.11,5368.5,USA,USA_WI_Mosinee-Central.Wisconsin.AP.726465_TMY3,93990.61
1304,PHILLIPS/PRICE CO.,726468,6A,80578.61,5335.45,USA,USA_WI_Phillips-Price.County.AP.726468_TMY3,85914.06
1305,RHINELANDER ONEIDA,727415,6A,88700.27,5654.33,USA,USA_MI_Rhinelander-Oneida.County.AP.727415_TMY3,94354.6
1306,RICE LAKE MUNICIPAL,726467,6A,87127.17,5766.46,USA,USA_WI_Rice.Lake.Muni.AP.726467_TMY3,92893.63
1307,STURGEON BAY,726458,6A,61820.61,4333.12,USA,USA_WI_Sturgeon.Bay-Door.County.AP.726458_TMY3,66153.73
1308,WATERTOWN,726464,5A,55425.27,7537.39,USA,USA_WI_Watertown.Muni.AP.726464_TMY3,62962.66
1309,WAUSAU MUNICIPAL ARPT,726463,6A,71985.14,6838.21,USA,USA_WI_Wausau.Muni.AP.726463_TMY3,78823.35
1310,WITTMAN RGNL,726456,5A,77417.79,5104.38,USA,USA_WI_Wittman.Rgnl.AP.726456_TMY3,82522.17
1311,CASPER NATRONA CO INTL AP,725690,6B,58610.9,6010.54,USA,USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY,64621.44
1312,CASPER NATRONA CO INTL AP,725690,6B,62371.31,4739.83,USA,USA_WY_Casper.725690_TMY2,67111.14
1313,CASPER NATRONA CO INTL AP,725690,6B,58732.4,5608.64,USA,USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3,64341.04
1314,CHEYENNE MUNICIPAL ARPT,725640,5B,54144.77,4353.89,USA,USA_WY_Cheyenne.Muni.AP.725640_TMY,58498.66
1315,CHEYENNE MUNICIPAL ARPT,725640,5B,54413.08,4182.67,USA,USA_WY_Cheyenne.Muni.AP.725640_TMY3,58595.75
1316,CHEYENNE MUNICIPAL ARPT,725640,5B,53931.68,4011.2,USA,USA_WY_Cheyenne.725640_TMY2,57942.88
1317,CODY MUNI (AWOS),726700,6B,48548.09,5219.23,USA,USA_WY_Cody.Muni.AWOS.726700_TMY3,53767.32
1318,GILLETTE/GILLETTE-C,726650,6B,52639.47,7571.75,USA,USA_WY_Gillette-Gillette.County.AP.726650_TMY3,60211.22
1319,JACKSON HOLE,725776,7,79450.23,2894.51,USA,USA_WY_Jackson.Hole.AP.725776_TMY3,82344.74
1320,LANDER HUNT FIELD,725760,6B,60760.15,5229.82,USA,USA_WY_Lander.725760_TMY2,65989.97
1321,LANDER HUNT FIELD,725760,6B,57563.2,6019.84,USA,USA_WY_Lander-Hunt.Field.725760_TMY3,63583.04
1322,LARAMIE GENERAL BREES FIELD,725645,6B,58114.01,3727.82,USA,USA_WY_Laramie-General.Brees.Field.725645_TMY3,61841.83
1323,ROCK SPRINGS ARPT,725744,6B,65493.92,4202.73,USA,USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3,69696.65
1324,ROCK SPRINGS ARPT,725744,6B,65102.98,4605.92,USA,USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY,69708.9
1325,ROCK SPRINGS ARPT,725744,6B,67781.56,3979.25,USA,USA_WY_Rock.Springs.725744_TMY2,71760.81
1326,SHERIDAN COUNTY ARPT,726660,6B,61683.25,5530.02,USA,USA_WY_Sheridan.726660_TMY2,67213.27
1327,SHERIDAN COUNTY ARPT,726660,6B,57374.8,6235.42,USA,USA_WY_Sheridan.County.AP.726660_TMY3,63610.22
1328,SHERIDAN COUNTY ARPT,726660,6B,58230.18,5795.46,USA,USA_WY_Sheridan.County.AP.726660_TMY,64025.64
1329,WORLAND MUNICIPAL,726665,6B,59376.9,7257.41,USA,USA_WY_Worland.Muni.AP.726665_TMY3,66634.31
1330,AQUADILLA/BORINQUEN,785140,1A,0,35133.13,PRI,PRI_Aguadilla-Borinquen.AP.785140_TMY3,35133.13
1331,ROOSEVELT ROADS,785350,1A,0,39098.57,PRI,PRI_Roosevelt.Roads.NAS.785350_TMY3,39098.57
1332,SAN JUAN INTL ARPT,785260,1A,0,37400.51,PRI,PRI_San.Juan.785260_TMY2,37400.51
1333,SAN JUAN INTL ARPT,785260,1A,0,40469.78,PRI,PRI_San.Juan.Intl.AP.785260_TMY3,40469.78
1334,SAN JUAN L M MARIN INTL AP,785263,1A,0,39416.82,PRI,PRI_San.Juan-Luis.Munoz.Marin.Intl.AP.785263_TMY3,39416.82
1335,WAKE ISLAND,912450,1A,0,40214.96,UMI,UMI_Wake.Island.912450_TMY,40214.96
