,LOCATION,ID,CZ,Heating,Cooling,Country,File_name,Total Energy
991,PENDLETON E OR REGIONAL AP,726880,5B,33574.84,7218.31,USA,USA_OR_Pendleton.726880_TMY2,40793.15
992,PENDLETON E OR REGIONAL AP,726880,5B,31012.04,6606.88,USA,USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3,37618.92
993,PORTLAND INTERNATIONAL AP,726980,4C,23463.47,4469.75,USA,USA_OR_Portland.726980_TMY2,27933.22
994,PORTLAND INTERNATIONAL AP,726980,4C,20989.22,5088.75,USA,USA_OR_Portland.Intl.AP.726980_TMY3,26077.97
995,PORTLAND INTERNATIONAL AP,726980,4C,24573.48,4238.28,USA,USA_OR_Portland.Intl.AP.726980_TMY,28811.76
996,PORTLAND/HILLSBORO,726986,4C,24041.25,5378.53,USA,USA_OR_Portland-Hillsboro.AP.726986_TMY3,29419.78
997,REDMOND ROBERTS FIELD,726835,5B,41147.12,4847.93,USA,USA_OR_Redmond-Roberts.Field.726835_TMY,45995.05
998,REDMOND ROBERTS FIELD,726835,5B,43502.75,4788.56,USA,USA_OR_Redmond.726835_TMY2,48291.31
999,REDMOND ROBERTS FIELD,726835,5B,40935.87,5062.95,USA,USA_OR_Redmond-Roberts.Field.726835_TMY3,45998.82
1000,SALEM MCNARY FIELD,726940,4C,26395.48,4068.28,USA,USA_OR_Salem-McNary.Field.726940_TMY,30463.76
1001,SALEM MCNARY FIELD,726940,4C,27122.7,4626,USA,USA_OR_Salem.726940_TMY2,31748.7
1002,SALEM MCNARY FIELD,726940,4C,24457.75,5250.47,USA,USA_OR_Salem-McNary.Field.726940_TMY3,29708.22
1003,SEXTON SUMMIT,725975,4C,30895.9,5687.13,USA,USA_OR_Sexton.Summit.725975_TMY3,36583.03
1004,ALLENTOWN LEHIGH VALLEY INTL,725170,5A,41643.88,7584.06,USA,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3,49227.94
1005,ALLENTOWN LEHIGH VALLEY INTL,725170,5A,45573.79,6561.62,USA,USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY,52135.41
1006,ALLENTOWN LEHIGH VALLEY INTL,725170,5A,44041.93,6891.75,USA,USA_PA_Allentown.725170_TMY2,50933.68
1007,ALTOONA BLAIR CO ARPT,725126,5A,41198.01,6694.25,USA,USA_PA_Altoona-Blair.County.AP.725126_TMY3,47892.26
1008,BRADFORD REGIONAL AP,725266,5A,69197.51,3801.02,USA,USA_PA_Bradford.Rgnl.AP.725266_TMY3,72998.53
1009,BRADFORD REGIONAL AP,725266,5A,73109.71,3395.48,USA,USA_PA_Bradford.725266_TMY2,76505.19
1010,BUTLER CO. (AWOS),725124,5A,47659.1,6622.85,USA,USA_PA_Butler.County.AWOS.725124_TMY3,54281.95
1011,DUBOIS FAA AP,725125,5A,57739.49,4808.85,USA,USA_PA_DuBois-Jefferson.County.AP.725125_TMY3,62548.34
1012,ERIE INTERNATIONAL AP,725260,5A,52161.89,4857.54,USA,USA_PA_Erie.Intl.AP.725260_TMY,57019.43
1013,ERIE INTERNATIONAL AP,725260,5A,49015.8,5940.14,USA,USA_PA_Erie.Intl.AP.725260_TMY3,54955.94
1014,ERIE INTERNATIONAL AP,725260,5A,55785.7,5367.65,USA,USA_PA_Erie.725260_TMY2,61153.35
1015,FRANKLIN,725267,5A,50360.02,4930.96,USA,USA_PA_Franklin-Chess.Lemberton.AP.725267_TMY3,55290.98
1016,HARRISBURG CAPITAL CITY ARPT,725118,4A,36970.44,8247.4,USA,USA_PA_Harrisburg-Capital.City.AP.725118_TMY,45217.84
1017,HARRISBURG CAPITAL CITY ARPT,725118,4A,38215.18,8847.71,USA,USA_PA_Harrisburg-Capital.City.AP.725118_TMY3,47062.89
1018,JOHNSTOWN CAMBRIA COUNTY AP,725127,5A,54685.39,4957.21,USA,USA_PA_Johnstown-Cambria.County.AP.725127_TMY3,59642.6
1019,MIDDLETOWN HARRISBURG INTL AP,725115,4A,48362.57,9607.41,USA,USA_PA_Harrisburg.Intl.AP.725115_TMY3,57969.98
