,Heating,Cooling,Country,File_name,ID
2898,63719.02,8138.2,USA,USA_IA_Monticello.Muni.AP.725475_TMY3,725475
2899,52432.67,7251.14,USA,USA_IL_Chicago-OHare.725300_TMY2,725300
2900,3735,9372.21,BRA,BRA_RS_Palmeira.das.Missoes.869530_INMET,869530
2901,8354.64,19746.16,CHN,CHN_Fujian.Jianou.587370_CSWD,587370
2902,155241.26,867.66,USA,USA_AK_Huslia.702225_TMY3,702225
2903,264.68,15305.08,BRA,BRA_MG_Sacramento.867950_INMET,867950
2904,58323.72,4158.93,USA,USA_ME_Sanford.Muni.AWOS.726064_TMY3,726064
2905,58855.08,9212.65,CHN,CHN_Nei.Mongol.Jartai.535020_SWERA,535020
2906,201611.85,207.3,USA,USA_AK_Kotzebue.701330_TMY2,701330
2907,67750.08,837.16,USA,USA_AK_Skagway.AP.703620_TMY3,703620
2908,26208.72,17134.37,USA,USA_OK_Tulsa.Intl.AP.723560_TMY3,723560
2909,194.61,38143.22,AUS,AUS_WA.Port.Hedland.Airport.943120_RMY,943120
2910,19120.88,8012.48,TUR,TUR_Istanbul.170600_IWEC,170600
2911,799.26,12336.62,BRA,BRA_PR_Ibaiti.869020_INMET,869020
2912,1967.77,22906.09,ARG,ARG_Misiones_Puerto.Iguazu.Intl.AP_870970_ArgTMY,870970
2913,15643.66,13225.45,USA,USA_GA_Fulton.County.AP.722195_TMY3,722195
2914,26099.08,13989.84,USA,USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY,723530
2915,34425.87,9981.78,USA,USA_VA_Manassas.Muni.AWOS.724036_TMY3,724036
2916,143010.4,328.69,SWE,SWE_Kiruna.020440_IWEC,20440
2917,114922.17,5051.63,CHN,CHN_Nei.Mongol.Xilinhot.541020_CSWD,541020
2918,28.21,22388.35,BRA,BRA_MG_Unai.AP.834280_INMET,834280
2919,100484.4,310.42,USA,USA_AK_Chulitna.702606_TMY3,702606
2920,63475.87,4250.58,USA,USA_VT_Montpelier.AP.726145_TMY3,726145
2921,77.49,33798.25,CUB,CUB_Union.de.Reyes.783270_SWERA,783270
2922,24739.24,13074.72,USA,USA_AR_Harrison.AP.723446_TMY3,723446
2923,81707.07,18.81,USA,USA_AK_Cold.Bay.AP.703160_TMY3,703160
2924,0,32371.44,BRA,BRA_TO_Palmas.866070_INMET,866070
2925,53856.38,520.52,USA,USA_AK_Sitka-Japonski.Island.AP.703710_TMY3,703710
2926,50358.83,1330.98,POL,POL_Koszalin.121050_IMGW,121050
2927,8090.91,5361.14,CZ05RV2.htm,CZ05RV2,723940
2928,85694.87,3021.13,USA,USA_MI_Sault.Ste.Marie-Sanderson.Field.727340_TMY3,727340
2929,27213.39,10116.57,USA,USA_NY_New.York-LaGuardia.AP.725030_TMY3,725030
2930,30998.75,7176.17,ITA,ITA_Milano-Linate.160800_IGDG,160800
2931,7377.53,10390.73,AUS,AUS_WA.Katanning.946410_RMY,946410
2932,42637.33,10384.13,CHN,CHN_Xinjiang.Uygur.Kashi.517090_CSWD,517090
2933,211.6,42378.4,BGD,BGD_Dhaka.419230_SWERA,419230
2934,0,48353.57,LKA,LKA_Colombo-Ratmalana.434670_SWERA,434670
2935,57952.45,10110.67,USA,USA_IA_Denison.Muni.AP.725477_TMY3,725477
2936,25139.15,7494.87,USA,USA_AZ_Show.Low.Muni.AP.723747_TMY3,723747
2937,3475.54,23753.11,CHN,CHN_Guangdong.Heyuan.592930_CSWD,592930
2938,11949.17,25778.88,USA,USA_TX_Dallas-Love.Field.722583_TMY3,722583
2939,5680.92,7082.94,ESP,ESP_Ceuta.603200_SWEC,603200
2940,101606.29,5876.73,CHN,CHN_Xinjiang.Uygur.Altay.510760_CSWD,510760
2941,5632.23,22768.27,USA,USA_LA_New.Orleans.Intl.AP.722310_TMY3,722310
2942,95878.16,6092.42,CHN,CHN_Jilin.Qian.Gorlos.509490_CSWD,509490
2943,60595.21,3286.95,CHN,CHN_Qinghai.Golmud.528180_CSWD,528180
2944,2385.11,21988.59,EGY,EGY_Ismailia.624400_ETMY,624400
2945,21703.01,13215.87,CHN,CHN_Jiangsu.Huaiyang-Qingjiang.581440_CSWD,581440
2946,79.93,10226.07,BRA,BRA_BA_Piata.866730_INMET,866730
2947,39768.83,447.47,GBR,GBR_Aberdeen.Dyce.030910_IWEC,30910
2948,91320.43,5918.24,CHN,CHN_Nei.Mongol.Bairin.Zuo.Qi.540270_CSWD,540270
2949,12146.49,20765.46,USA,USA_UT_Saint.George.AWOS.724754_TMY3,724754
2950,7911.37,5856.67,CHN,CHN_Yunnan.Kunming.567780_IWEC,567780
2951,6345.14,8692.5,ITA,ITA_Ustica.164000_IGDG,164000
2952,84934.66,4509.92,CAN,CAN_PQ_Montreal.Jean.Brebeuf.716278_CWEC,71612
2953,33470.55,2712.52,CHN,CHN_Sichuan.Barkam.561720_CSWD,561720
2954,0,39547.93,BRA,BRA_AM_Maues.817340_INMET,817340
2955,25.09,15741.71,BRA,BRA_GO_Luziania.867360_INMET,867360
2956,36295.64,14313.73,USA,USA_KS_Salina.Muni.AP.724586_TMY3,724586
2957,24.16,31455.58,CUB,CUB_Camaguey.783550_SWERA,783550
2958,38598.4,5429.72,ITA,ITA_Bolzano.160200_IGDG,160200
2959,20032.61,13837.23,USA,USA_GA_Dekalb.Peachtree.AP.722196_TMY3,722196
2960,40935.87,5062.95,USA,USA_OR_Redmond-Roberts.Field.726835_TMY3,726835
2961,7738.37,5321.6,BRA,BRA_RS_Canela.AP.869800_INMET,869800
2962,0,32256.34,CUB,CUB_Casa.Blanca.783250_SWERA,783250
