Heating,Cooling,Country,File_name,ID
70181.07,571.6,USA,USA_AK_Valdez-Pioneer.Field.702756_TMY3,702756
79545.25,527.97,USA,USA_AK_Whittier.702757_TMY3,702757
5796.05,20486.48,USA,USA_LA_New.Orleans.722315_TMY2,722315
8239.55,10069.8,ITA,ITA_S.Maria.di.Leuca.163600_IGDG,163600
86888.04,7211.27,USA,USA_SD_Mobridge.Muni.AP.726685_TMY3,726685
60645.48,5092.15,USA,USA_MI_Flint-Bishop.Intl.AP.726370_TMY,726370
6318.99,23734.37,USA,USA_TX_Houston-D.W.Hooks.AP.722429_TMY3,722429
15491.76,12375.79,USA,USA_NC_Rocky.Mount-Wilson.AP.723068_TMY3,723068
60137.17,4395.16,USA,USA_ME_Portland.Intl.Jetport.726060_TMY3,726060
1612.05,23093.72,CHN,CHN_Guangdong.Shantou.593160_CSWD,593160
49582.35,7640.32,USA,USA_MI_Detroit-City.AP.725375_TMY3,725375
2525.96,6924.59,USA,USA_CA_Los.Angeles.Intl.AP.722950_TMY3,722950
66002.88,645.41,USA,USA_AK_Gustavus.703670_TMY3,703670
0,36299.81,BRA,BRA_AM_Coari.817700_INMET,817700
9225.14,2460.77,BRA,BRA_SC_Sao.Joaquim.869690_INMET,869690
0,33858.79,BRA,BRA_TO_Peixe.866490_INMET,866490
28590.3,4355.68,FRA,FRA_Clermont-Ferrand.074600_IWEC,74600
37613.6,12466.46,USA,USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY,724340
185.31,18157.75,ETH,ETH_Bahar.Dar.633320_SWERA,633320
2605.91,27145.31,USA,USA_FL_St.Petersburg-Clearwater.Intl.AP.722116_TMY3,722116
25718.96,7464.06,ITA,ITA_Venice.161050_IWEC,161050
1864.28,6925.12,BRA,BRA_RJ_Teresopolis.868880_INMET,868880
159956.94,397.36,USA,USA_AK_Bethel.AP.702190_TMY,702190
26836.07,6598.94,ITA,ITA_Udine-Campoformido.160440_IGDG,160440
11517.74,16041.68,USA,USA_NC_Wilmington.Intl.AP.723013_TMY3,723013
1284.71,10056.67,BRA,BRA_MG_Sao.Joao.del.Rei.836880_INMET,836880
0,34527.02,BRA,BRA_PI_Sao.Raimundo.Nonato.819890_INMET,819890
19367.93,5042.36,FRA,FRA_Bordeaux.075100_IWEC,75100
11709.9,2015.79,NZL,NZL_Wellington-Wellington.WN.934360_NIWA,934360
215812.13,729.14,CAN,CAN_MB_Churchill.719130_CWEC,719130
13231.64,16904.81,USA,USA_GA_Augusta-Bush-Field.722180_TMY3,722180
41562.98,7633.49,USA,USA_ID_Burley.Muni.AP.725867_TMY3,725867
60813.73,1415.18,POL,POL_Chojnice.122350_IMGW,122350
0,25131.86,BRA,BRA_SE_Carira.866150_INMET,866150
0,22840.82,KEN,KEN_Kisumu.637080_SWERA,637080
13584.04,17777.65,CHN,CHN_Hunan.Lingling.578660_CSWD,578660
24692.59,1484.65,USA,USA_OR_Astoria.Rgnl.AP.727910_TMY,727910
0.08,44295.63,IND,IND_Surat.428400_ISHRAE,428400
0,27286.79,BRA,BRA_BA_Valenca.866760_INMET,866760
326.59,18735.2,BRA,BRA_GO_Mineiros.867510_INMET,867510
51732.01,6940.83,USA,USA_ID_Pocatello.Muni.AP.725780_TMY,725780
11709.24,9322.62,ITA,ITA_Rome.162420_IWEC,162420
17261.45,14865.22,USA,USA_NM_Holloman.AFB.747320_TMY3,747320
14510.27,19450.02,USA,USA_AL_Maxwell.AFB.722265_TMY3,722265
49259.41,6296.8,USA,USA_OH_Akron.725210_TMY2,725210
84815.97,6896.75,USA,USA_MN_Benson.Muni.AP.727507_TMY3,727507
80090.54,4725.7,CAN,CAN_AB_Medicine.Hat.718720_CWEC,718720
18083.82,17280.93,USA,USA_GA_Warner.Robins.AFB.722175_TMY3,722175
44275.74,8443.97,USA,USA_ID_Mountain.Home.AFB.726815_TMY3,726815
170256.24,604.62,CAN,CAN_PQ_Kuujjuarapik.719050_CWEC,719050
76819.86,8851.67,USA,USA_SD_Mitchell.AWOS.726545_TMY3,726545
1.59,26688.69,IND,IND_Belgaum.431980_ISHRAE,431980
16434.08,14756.79,CHN,CHN_Hunan.Wugang.578530_CSWD,578530
422.19,31986.25,IND,IND_Guwahati.424100_ISHRAE,424100
156.32,24825.14,BRA,BRA_MG_Montalvania.866930_INMET,866930
69664.2,5503.37,CHN,CHN_Shanxi.Datong.534870_CSWD,534870
4699.58,15565.53,ISR,ISR_Tel.Aviv-Bet.Dagan.401790_MSI,401790
4826.73,10787.55,ITA,ITA_Palermo-Boccadifalco.164000_IGDG,164000
6578.52,1632.03,BRA,BRA_RJ_Petropolis-Pico.do.Couto.868760_INMET,868760
51668.68,1955.95,POL,POL_Jelenia.Gora.125000_IMGW,125000
0,29916.66,BRA,BRA_CE_Taua.818720_INMET,818720
390.12,24354.24,BRA,BRA_PR_Maringa.AP.868990_TRY.1991,868990
0,22040.12,BRA,BRA_BA_Senhor.do.Bonfim.830880_INMET,830880
49037.33,8093.78,USA,USA_IL_Du.Page.AP.725305_TMY3,725305
92223.47,7586.76,USA,USA_MN_Pipestone.AWOS.726566_TMY3,726566
10077.4,19247.37,USA,USA_FL_Valparaiso-Elgin.AFB.722210_TMY3,722210
15432.21,8208.87,USA,USA_CA_Sandberg.723830_TMY3,723830
131881.5,31.67,POL,POL_Kasprowy.Wierch.126500_IMGW,126500
104.06,30457.05,BRA,BRA_MT_Pontes.de.Lacerda.867020_INMET,867020
6480.25,14139.56,CZ10RV2.htm,CZ10RV2,722860
0,33374.41,BRA,BRA_PE_Petrolina.819910_INMET,819910
8392.53,19309.19,USA,USA_AL_Mobile-Rgnl.AP.722230_TMY3,722230
86872.21,1211.52,USA,USA_AK_Soldotna.702595_TMY3,702595
0,39043.9,MYS,MYS_Kuching.964130_IWEC,964130
19771.43,17324.43,USA,USA_TX_Abilene.Rgnl.AP.722660_TMY3,722660
10677.32,15466.59,USA,USA_SC_Charleston.Intl.AP.722080_TMY,722080
14158.15,16577.86,USA,USA_AL_Tuscaloosa.Muni.AP.722286_TMY3,722286
103177.68,2888.9,USA,USA_MN_Duluth.727450_TMY2,727450
1702.83,15142.86,BRA,BRA_MG_Florestal.867980_INMET,867980
15056.65,3719.82,AUS,AUS_TAS.Launceston-Ti.Tree.Bend.949690_RMY,949690
785.15,23005.95,BRA,BRA_MS_Sidrolandia.868090_INMET,868090
104253.82,4507.39,CAN,CAN_SK_Estevan.718620_CWEC,718620
18798.84,12788.59,USA,USA_NM_Truth.or.Consequences.Muni.AP.722710_TMY,722710
15253.92,21204,USA,USA_LA_Shreveport.Downtown.722484_TMY3,722484
48372.56,1575.98,CHN,CHN_Sichuan.Songpan.561820_CSWD,561820
28810.35,9631.56,USA,USA_NJ_Millville.Muni.AP.724075_TMY3,724075
0,40098.1,KEN,KEN_Malindi.637990_SWERA,637990
87.92,43728.84,IND,IND_Trivandram.433710_ISHRAE,433710
74507.43,1350.34,USA,USA_AK_Anchorage-Lake.Hood.Seaplane.Base.702725_TMY3,702725
0,41433.98,BRA,BRA_MA_Farol.Santana.822770_INMET,822770
3794.55,10966.05,CHN,CHN_Yunnan.Lincang.569510_CSWD,569510
26939.55,13189.07,USA,USA_AR_Bentonville.AWOS.723444_TMY3,723444
3019.68,25141.12,CHN,CHN_Guangxi.Zhuang.Lingshan.594460_CSWD,594460
85131.21,1312.78,CAN,CAN_NF_Gander.718030_CWEC,718030
93691.91,4924.23,CHN,CHN_Nei.Mongol.Linxi.541150_SWERA,541150
0,38984.35,BRA,BRA_RN_Caico.818750_INMET,818750
256.26,33338.78,IND,IND_Jagdelpur.430410_ISHRAE,430410
101.44,42875.47,AUS,AUS_WA.Broome.Airport.942030_RMY,942030
845.39,14275.91,ETH,ETH_Jimma.634020_SWERA,634020
10556.65,18999.67,USA,USA_MS_McComb-Pike.Co.AP.722358_TMY3,722358
91883.51,5905.35,USA,USA_ND_Bismarck.Muni.AP.727640_TMY,727640
54590.8,3192.23,USA,USA_ME_Rockland-Knox.AWOS.726079_TMY3,726079
17805.57,1205.42,USA,USA_OR_North.Bend.Muni.AP.726917_TMY,726917
12342.38,7476.52,CHN,CHN_Guizhou.Xingyi.579020_CSWD,579020
36.85,27795.57,BRA,BRA_MT_Sao.Jose.do.Rio.Claro.866640_INMET,866640
60760.15,5229.82,USA,USA_WY_Lander.725760_TMY2,725760
106638.45,3378.24,USA,USA_MN_Orr.Rgnl.AP.726544_TMY3,726544
4145.66,29443.11,USA,USA_TX_Cotulla.AP.722526_TMY3,722526
44555.35,2394.01,POL,POL_Slubice.123100_IMGW,123100
61884.99,9356.14,USA,USA_NE_Tekamah.AWOS.725527_TMY3,725527
28416.74,2431.06,CHN,CHN_Guizhou.Weining.566910_CSWD,566910
26.18,12133.65,BRA,BRA_DF_Brasilia.867150_INMET,867150
28551.12,13954.97,CHN,CHN_Hebei.Xingtai.537980_CSWD,537980
47378.11,3636.15,USA,USA_AZ_Flagstaff.723755_TMY2,723755
120020.24,1512.86,RUS,RUS_Arkhangelsk.225500_IWEC,225500
63384.5,8905.51,USA,USA_MN_Albert.Lea.AWOS.726589_TMY3,726589
53077.62,6135.27,USA,USA_OH_Youngstown.Rgnl.AP.725250_TMY3,725250
83394.44,6488.16,USA,USA_WI_Ephraim.AWOS.726626_TMY3,726626
8056.52,7821.13,ITA,ITA_Ponza.162800_IGDG,162800
11574.32,11010.41,USA,USA_CA_Sacramento.Exec.AP.724830_TMY3,724830
80292.24,266.91,USA,USA_AK_Yakutat.703610_TMY2,703610
0,31202.94,BRA,BRA_AL_Sao.Luis.do.Quitunde.819970_INMET,819970
137.24,12209.11,KEN,KEN_Meru.636950_SWERA,636950
15318.26,14412.29,USA,USA_AL_Birmingham.722280_TMY2,722280
37.65,23103.34,BRA,BRA_MT_Campo.Novo.do.Parecis.866620_INMET,866620
84338.68,7020.78,CHN,CHN_Nei.Mongol.Jarud.Qi.540260_CSWD,540260
14043.11,21307.96,USA,USA_TX_Fort.Worth-Meacham.AP.722596_TMY3,722596
8592.79,12174.88,CHN,CHN_Sichuan.Yibin.564920_CSWD,564920
17955.07,15112.84,USA,USA_GA_Rome-Richard.B.Russell.AP.723200_TMY3,723200
756.45,28574.95,CHN,CHN_Guangdong.Dianbai.596640_CSWD,596640
101640.15,2.49,USA,USA_AK_St.Paul.Island.703080_TMY2,703080
44567.74,5827.42,USA,USA_AZ_Grand.Canyon.National.Park.AP.723783_TMY3,723783
48040.06,3232.51,POL,POL_Bielsko.Biala.126000_IMGW,126000
5.12,39804.99,CUB,CUB_Santiago.de.Cuba.782640_SWERA,782640
14250.15,18306.63,CHN,CHN_Hunan.Changning.578740_CSWD,578740
60165.52,5079.17,USA,USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY,725190
88.33,20021.84,BRA,BRA_MG_Uberlandia.867760_INMET,867760
2869.61,15894.09,BRA,BRA_RS_Sao.Borja.869600_INMET,869600
166404.34,367.91,USA,USA_AK_Nome.Muni.AP.702000_TMY,702000
73609.74,7761.33,USA,USA_MN_Red.Wing.Muni.AP.726564_TMY3,726564
32561.58,9440.11,USA,USA_NY_New.York-Central.Park.725033_TMY3,725033
17124.65,16872.59,CHN,CHN_Hunan.Changde.576620_CSWD,576620
48562.71,5095.48,USA,USA_WA_Spokane.Intl.AP.727850_TMY,727850
59327.61,843.96,USA,USA_AK_Kake.Seaplane.Base.703855_TMY3,703855
28442.84,7935.04,USA,USA_NC_Asheville.723150_TMY2,723150
0.53,29093.78,BRA,BRA_MT_Sorriso.866450_INMET,866450
53518.3,11024.54,USA,USA_IA_Shenandoah.Muni.AP.725467_TMY3,725467
45840.67,21223.91,CHN,CHN_Xinjiang.Uygur.Turpan.515730_SWERA,515730
47994.97,8109.62,PRK,PRK_Pyongyang.470580_IWEC,470580
254.17,16148.3,BRA,BRA_Brasilia.833780_IWEC,833780
4030.95,11533.87,BRA,BRA_RS_Santa.Maria.839360_INMET,839360
46739.4,4918.42,UKR,UKR_Odessa.338370_IWEC,338370
5750.91,20696.43,USA,USA_FL_Jacksonville.Intl.AP.722060_TMY3,722060
18156.6,12940.32,USA,USA_MD_Patuxent.River.NAS.724040_TMY3,724040
91071.5,872.23,SWE,SWE_Ostersund.Froson.022260_IWEC,22260
16954.86,12610.77,USA,USA_AL_Gadsen.Muni.AWOS.722285_TMY3,722285
42364.8,7666.35,USA,USA_PA_Williamsport.Rgnl.AP.725140_TMY3,725140
43.9,22573.66,BRA,BRA_MT_Santo.Antonio.do.Leste.866850_INMET,866850
0,41502.16,BRA,BRA_PI_Piripiri.817940_INMET,817940
54321.72,8564.28,USA,USA_IL_Peoria.725320_TMY2,725320
9486.96,13908.84,CHN,CHN_Sichuan.Chengdu.562940_SWERA,562940
26425.94,9547.63,USA,USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY,724110
16029.37,17823.04,USA,USA_TX_Abilene.Rgnl.AP.722660_TMY,722660
36682.27,9546.33,USA,USA_NJ_McGuire.AFB.724096_TMY3,724096
70.73,42859.34,BRA,BRA_Cuiaba-Marechal.Ron.833620_SWERA,833620
4729.71,14758.73,TUN,TUN_Tunis.607150_IWEC,607150
34071.79,8518.08,USA,USA_NV_Tonopah.AP.724855_TMY,724855
0.1,22027.17,USA,USA_HI_Hilo.912850_TMY2,912850
58334.45,7757.93,CHN,CHN_Liaoning.Yingkou.544710_CSWD,544710
18164.58,6138.7,ITA,ITA_Gioia.del.Colle.163120_IGDG,163120
74864.17,4929.84,USA,USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY,726450
2.93,27398.53,USA,USA_HI_Honolulu.911820_TMY2,911820
35284.34,4997.15,USA,USA_MA_Provincetown.AWOS.725073_TMY3,725073
166.89,23566.33,BRA,BRA_GO_Sao.Simao.867730_INMET,867730
69345.09,1471.08,CHN,CHN_Qinghai.Dulan.Us.528360_CSWD,528360
38971.09,13821.95,USA,USA_KS_Manhattan.Rgnl.AP.724555_TMY3,724555
49026.9,10882.07,USA,USA_NE_Lincoln.Muni.AP.725510_TMY3,725510
0,33369.14,BRA,BRA_MT_Confresa.866060_INMET,866060
0,32856.59,BRA,BRA_AP_Porto.Grande.816370_INMET,816370
92.6,20717.93,BRA,BRA_MG_Curvelo.867800_INMET,867800
12439.64,17924.97,USA,USA_MS_Jackson.Intl.AP.722350_TMY,722350
730.49,22413.63,CHN,CHN_Yunnan.Mengla.569690_CSWD,569690
40858.43,7320.79,USA,USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY,724280
16997.74,1287.75,USA,USA_OR_North.Bend.726917_TMY2,726917
52004.32,2827.72,POL,POL_Krakow.125660_IWEC,125660
26775.62,5157.37,USA,USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3,726930
78.06,20086.99,BRA,BRA_GO_Pires.do.Rio.867560_INMET,867560
23675.88,4773.36,ESP,ESP_Zamora.081300_SWEC,81300
61287.23,4616.3,USA,USA_CO_Eagle.County.Rgnl.AP.724675_TMY3,724675
37806.78,6532.69,USA,USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3,725040
38362.13,9531.8,USA,USA_CO_Pueblo.Mem.AP.724640_TMY,724640
9361.4,10641.3,AUS,AUS_NSW.Dubbo.Airport.957190_RMY,957190
64549.65,8511.85,USA,USA_IA_Fort.Dodge.AWOS.725490_TMY3,725490
